sample_id,label,source,env,snr_db,run_tag,bin_path,fold
0,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1027_55136.bin,train
1,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1026_55185.bin,train
2,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1027_55200.bin,train
3,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1029_55296.bin,train
4,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1030_55366.bin,train
5,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1029_55374.bin,train
6,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1029_55462.bin,train
7,drone_binary,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1107_57777.bin,train
8,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1007_53645.bin,train
9,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_46_6325.bin,train
10,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_46_6719.bin,train
11,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_916_50561.bin,train
12,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_916_50631.bin,train
13,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_916_50689.bin,train
14,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_916_50769.bin,train
15,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_916_50861.bin,train
16,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_633_33708.bin,train
17,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_638_34007.bin,train
18,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_639_34007.bin,train
19,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_644_34133.bin,train
20,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1398_69806.bin,train
21,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1399_69807.bin,train
22,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1398_69869.bin,train
23,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1399_69887.bin,train
24,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1398_69917.bin,train
25,Elephant,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1399_69965.bin,train
26,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_361_23186.bin,train
27,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_363_23256.bin,train
28,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_933_51059.bin,train
29,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_933_51156.bin,train
30,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_933_51295.bin,train
31,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1158_60375.bin,train
32,drone_binary,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_292_19886.bin,train
33,drone_binary,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_302_20186.bin,train
34,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65548.bin,train
35,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65596.bin,train
36,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1255_65630.bin,train
37,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65647.bin,train
38,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65704.bin,train
39,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1255_65732.bin,train
40,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65752.bin,train
41,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1255_65789.bin,train
42,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65803.bin,train
43,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65870.bin,train
44,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1255_65872.bin,train
45,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65918.bin,train
46,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1255_65920.bin,train
47,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1254_65995.bin,train
48,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1150_59948.bin,train
49,Bear,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1151_60060.bin,train
50,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_52270.bin,train
51,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52273.bin,train
52,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52338.bin,train
53,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52399.bin,train
54,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52457.bin,train
55,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_52489.bin,train
56,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52505.bin,train
57,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52554.bin,train
58,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_52591.bin,train
59,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52602.bin,train
60,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52652.bin,train
61,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52707.bin,train
62,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52762.bin,train
63,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_52760.bin,train
64,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52814.bin,train
65,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52865.bin,train
66,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_52863.bin,train
67,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52913.bin,train
68,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_52961.bin,train
69,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_52961.bin,train
70,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_53013.bin,train
71,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_53062.bin,train
72,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_958_53121.bin,train
73,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_957_53126.bin,train
74,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_768_43799.bin,train
75,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_768_43863.bin,train
76,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_29_4324.bin,train
77,drone_bebop,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_29_4391.bin,train
78,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1288_66599.bin,train
79,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1294_66660.bin,train
80,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1285_66695.bin,train
81,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1285_66777.bin,train
82,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1303_66839.bin,train
83,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1305_66853.bin,train
84,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1308_66929.bin,train
85,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1321_67002.bin,train
86,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_1351_67165.bin,train
87,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_792_45353.bin,train
88,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_793_45353.bin,train
89,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_792_45418.bin,train
90,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_792_45468.bin,train
91,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_793_45488.bin,train
92,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_792_45524.bin,train
93,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_793_45579.bin,train
94,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_808_45642.bin,train
95,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_809_45731.bin,train
96,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_306_20371.bin,train
97,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_307_20374.bin,train
98,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_306_20446.bin,train
99,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_306_20505.bin,train
100,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_307_20513.bin,train
101,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_306_20590.bin,train
102,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_115_9648.bin,train
103,Frog,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_122_9728.bin,train
104,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_46703.bin,train
105,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_46752.bin,train
106,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_46800.bin,train
107,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_46848.bin,train
108,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_46898.bin,train
109,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_46951.bin,train
110,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47005.bin,train
111,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47064.bin,train
112,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47119.bin,train
113,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47173.bin,train
114,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47228.bin,train
115,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47276.bin,train
116,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47325.bin,train
117,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_856_47365.bin,train
118,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47373.bin,train
119,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47421.bin,train
120,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47471.bin,train
121,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_856_47472.bin,train
122,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47520.bin,train
123,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_856_47530.bin,train
124,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_845_47582.bin,train
125,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_877_47775.bin,train
126,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_451_29486.bin,train
127,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_452_29486.bin,train
128,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_451_29544.bin,train
129,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_451_29597.bin,train
130,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_451_29663.bin,train
131,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_465_29768.bin,train
132,Lion,clean,none,high,a1,/Users/abhinav/research/experiments/odas/logs_a1/patch_472_29796.bin,train
